Topic_ID,Top_Words
Topic #1,"evenly, spaced, along, tall, easy, each, crate, rectangular, vertical, cabinet"
Topic #2,"device, rectangular, edges, rounded, black, small, industrial, panel, mechanical, components"
Topic #3,"character, small, body, figure, head, its, eyes, legs, black, arms"
Topic #4,"blue, red, glossy, smooth, vibrant, yellow, white, at, against, small"
Topic #5,"body, sleek, streamlined, black, design, car, aerodynamic, accents, red, smooth"
Topic #6,"metallic, metal, reflective, silver, polished, design, combination, gold, steel, sheen"
Topic #7,"base, sculpture, intricately, ceramic, wear, statue, cylindrical, stone, signs, intricate"
Topic #8,"box, ring, band, near, rectangular, black, pattern, either, sides, side"
Topic #9,"green, block, small, tree, leaves, paper, delicate, plant, white, vibrant"
Topic #10,"well, defined, smooth, sharp, plain, skin, its, white, highlight, symmetrical"
Topic #11,"roof, structure, small, rectangular, wooden, building, house, wood, painted, windows"
Topic #12,"legs, design, frame, chair, wood, backrest, sturdy, dark, seat, curved"
Topic #13,"rectangular, edges, modern, design, smooth, clean, base, white, lines, sleek"
Topic #14,"smooth, subtle, brown, wood, rounded, edges, appearance, piece, variations, natural"
Topic #15,"section, part, upper, stick, base, lower, wider, than, more, corner"
Topic #16,"container, fabric, soft, rounded, lid, edges, small, pastel, suitable, rectangular"
Topic #17,"elongated, end, tapering, towards, rough, one, pointed, at, predominantly, shaped"
Topic #18,"which, suggesting, might, indicating, similar, appears, plastic, could, like, such"
Topic #19,"brown, shades, green, some, small, natural, rough, mix, areas, gray"
Topic #20,"handle, black, sleek, design, cylindrical, finish, modern, smooth, body, grip"
